source,age_ka,age,d18O,d18O_sw,sealevel
1146 Holbourn,9471.2,9.4712,2.26,0.17,-10.64
1146 Holbourn,9473.3,9.4733,2.21,0.12,-7.56
1146 Holbourn,9475.5,9.4755,2.22,0.13,-8.18
1146 Holbourn,9477.6,9.4776,2.29,0.2,-12.48
1146 Holbourn,9479.7,9.4797,2.15,0.06,-3.87
1146 Holbourn,9481.8,9.4818,2.26,0.17,-10.64
1146 Holbourn,9484,9.484,2.28,0.19,-11.87
1146 Holbourn,9486.1,9.4861,2.08,-0.01,0.44
1146 Holbourn,9488.2,9.4882,2.43,0.34,-21.1
1146 Holbourn,9490.3,9.4903,2.39,0.3,-18.64
1146 Holbourn,9492.5,9.4925,2.52,0.43,-26.64
1146 Holbourn,9496.7,9.4967,2.44,0.35,-21.71
1146 Holbourn,9498.8,9.4988,2.52,0.43,-26.64
1146 Holbourn,9500.9,9.5009,2.38,0.29,-18.03
1146 Holbourn,9503.1,9.5031,2.44,0.35,-21.73
1146 Holbourn,9505.2,9.5052,2.4,0.31,-19.28
1146 Holbourn,9507.3,9.5073,2.34,0.25,-15.6
1146 Holbourn,9509.4,9.5094,2.31,0.22,-13.76
1146 Holbourn,9511.6,9.5116,2.37,0.28,-17.47
1146 Holbourn,9513.7,9.5137,2.15,0.06,-3.94
1146 Holbourn,9517.9,9.5179,2.19,0.1,-6.42
1146 Holbourn,9520.5,9.5205,1.98,-0.11,6.49
1146 Holbourn,9522.6,9.5226,2.13,0.04,-2.75
1146 Holbourn,9524.7,9.5247,2.48,0.39,-24.3
1146 Holbourn,9526.8,9.5268,2.41,0.33,-20.01
1146 Holbourn,9529,9.529,2.51,0.43,-26.17
1146 Holbourn,9531.1,9.5311,2.45,0.37,-22.49
1146 Holbourn,9533.2,9.5332,2.5,0.42,-25.58
1146 Holbourn,9535.3,9.5353,2.52,0.44,-26.82
1146 Holbourn,9537.5,9.5375,2.47,0.39,-23.75
1146 Holbourn,9539.6,9.5396,2.4,0.32,-19.46
1146 Holbourn,9541.7,9.5417,2.41,0.33,-20.08
1146 Holbourn,9543.8,9.5438,2.31,0.23,-13.94
1146 Holbourn,9546,9.546,2.38,0.3,-18.26
1146 Holbourn,9548.1,9.5481,2.38,0.3,-18.27
1146 Holbourn,9550.2,9.5502,2.21,0.13,-7.82
1146 Holbourn,9552.3,9.5523,2.3,0.22,-13.37
1146 Holbourn,9554.4,9.5544,2.18,0.1,-6
1146 Holbourn,9556.6,9.5566,2.07,-0.01,0.76
1146 Holbourn,9558.7,9.5587,2.15,0.07,-4.17
1146 Holbourn,9560.8,9.5608,2.13,0.05,-2.95
1146 Holbourn,9562.9,9.5629,2.26,0.18,-10.96
1146 Holbourn,9565.1,9.5651,2.19,0.11,-6.67
1146 Holbourn,9567.2,9.5672,2.39,0.31,-18.98
1146 Holbourn,9568.9,9.5689,2.48,0.4,-24.53
1146 Holbourn,9571,9.571,2.4,0.32,-19.62
1146 Holbourn,9573.1,9.5731,2.4,0.32,-19.63
1146 Holbourn,9575.3,9.5753,2.26,0.18,-11.03
1146 Holbourn,9577.4,9.5774,2.38,0.3,-18.42
1146 Holbourn,9579.5,9.5795,2.36,0.28,-17.2
1146 Holbourn,9581.6,9.5816,2.26,0.18,-11.06
1146 Holbourn,9583.7,9.5837,2.32,0.24,-14.76
1146 Holbourn,9585.9,9.5859,2.23,0.15,-9.24
1146 Holbourn,9588,9.588,2.14,0.06,-3.71
1146 Holbourn,9590.1,9.5901,2.23,0.15,-9.26
1146 Holbourn,9592.2,9.5922,2.07,-0.01,0.58
1146 Holbourn,9594.4,9.5944,2.2,0.12,-7.43
1146 Holbourn,9596.5,9.5965,2.03,-0.05,3.02
1146 Holbourn,9598.6,9.5986,1.88,-0.2,12.24
1146 Holbourn,9600.7,9.6007,1.98,-0.1,6.07
1146 Holbourn,9602.9,9.6029,1.96,-0.12,7.28
1146 Holbourn,9605,9.605,2.19,0.11,-6.89
1146 Holbourn,9607.1,9.6071,2.37,0.29,-17.99
1146 Holbourn,9609.2,9.6092,2.44,0.36,-22.31
1146 Holbourn,9613.5,9.6135,2.47,0.39,-24.2
1146 Holbourn,9615.6,9.6156,2.52,0.44,-27.3
1146 Holbourn,9617.7,9.6177,2.5,0.42,-26.08
1146 Holbourn,9619.8,9.6198,2.59,0.51,-31.64
1146 Holbourn,9622,9.622,2.24,0.16,-10.12
1146 Holbourn,9624.1,9.6241,2.42,0.34,-21.22
1146 Holbourn,9626.2,9.6262,2.32,0.25,-15.08
1146 Holbourn,9628.3,9.6283,2.22,0.15,-8.95
1146 Holbourn,9630.5,9.6305,2.17,0.1,-5.89
1146 Holbourn,9632.6,9.6326,2.17,0.1,-5.91
1146 Holbourn,9634.7,9.6347,2.13,0.06,-3.47
1146 Holbourn,9636.8,9.6368,2.13,0.06,-3.49
1146 Holbourn,9638.9,9.6389,2.23,0.16,-9.66
1146 Holbourn,9641.1,9.6411,2.37,0.3,-18.3
1146 Holbourn,9643.2,9.6432,2.17,0.1,-6.01
1146 Holbourn,9645.3,9.6453,2.22,0.15,-9.1
1146 Holbourn,9647.4,9.6474,2.39,0.32,-19.58
1146 Holbourn,9649.6,9.6496,2.17,0.1,-6.06
1146 Holbourn,9651.7,9.6517,2.23,0.16,-9.78
1146 Holbourn,9653.8,9.6538,2.12,0.05,-3.03
1146 Holbourn,9655.9,9.6559,2.29,0.22,-13.51
1146 Holbourn,9658.1,9.6581,2.2,0.13,-7.99
1146 Holbourn,9660.2,9.6602,2.26,0.19,-11.7
1146 Holbourn,9664.4,9.6644,2.33,0.26,-16.04
1146 Holbourn,9666.5,9.6665,2.21,0.14,-8.68
1146 Holbourn,9668.7,9.6687,2.18,0.11,-6.85
1146 Holbourn,9670.8,9.6708,2.12,0.05,-3.18
1146 Holbourn,9672.9,9.6729,2.22,0.15,-9.35
1146 Holbourn,9675,9.675,2.15,0.08,-5.06
1146 Holbourn,9677.2,9.6772,2.16,0.09,-5.7
1146 Holbourn,9679.3,9.6793,1.93,-0.14,8.44
1146 Holbourn,9681.4,9.6814,2.03,-0.04,2.26
1146 Holbourn,9683.5,9.6835,2.12,0.05,-3.29
1146 Holbourn,9685.7,9.6857,2.07,0,-0.24
1146 Holbourn,9687.8,9.6878,2.2,0.13,-8.26
1146 Holbourn,9689.9,9.6899,2.39,0.32,-19.97
1146 Holbourn,9692,9.692,2.26,0.19,-11.99
1146 Holbourn,9694.1,9.6941,2.51,0.45,-27.39
1146 Holbourn,9696.3,9.6963,2.53,0.47,-28.64
1146 Holbourn,9698.4,9.6984,2.41,0.35,-21.28
1146 Holbourn,9700.5,9.7005,2.38,0.32,-19.45
1146 Holbourn,9702.6,9.7026,2.5,0.44,-26.85
1146 Holbourn,9704.8,9.7048,2.34,0.28,-17.02
1146 Holbourn,9706.9,9.7069,2.37,0.31,-18.88
1146 Holbourn,9709,9.709,2.33,0.27,-16.44
1146 Holbourn,9711.1,9.7111,2.2,0.14,-8.45
1146 Holbourn,9713.3,9.7133,2.18,0.12,-7.24
1146 Holbourn,9715.4,9.7154,2.29,0.23,-14.03
1146 Holbourn,9717.5,9.7175,2.26,0.2,-12.2
1146 Holbourn,9719.5,9.7195,2.12,0.06,-3.6
1146 Holbourn,9721.4,9.7214,2.3,0.24,-14.69
1146 Holbourn,9723.4,9.7234,2.21,0.15,-9.16
1146 Holbourn,9725,9.725,2.11,0.05,-3.02
1146 Holbourn,9727.3,9.7273,2.34,0.28,-17.19
1146 Holbourn,9729.3,9.7293,2.34,0.28,-17.21
1146 Holbourn,9731.2,9.7312,2.52,0.46,-28.3
1146 Holbourn,9733.2,9.7332,2.43,0.37,-22.78
1146 Holbourn,9735.1,9.7351,2.48,0.42,-25.87
1146 Holbourn,9737.1,9.7371,2.54,0.48,-29.58
1146 Holbourn,9739.1,9.7391,2.55,0.49,-30.21
1146 Holbourn,9741,9.741,2.49,0.43,-26.53
1146 Holbourn,9743,9.743,2.3,0.24,-14.85
1146 Holbourn,9744.9,9.7449,2.14,0.08,-5.02
1146 Holbourn,9746.9,9.7469,2.38,0.32,-19.81
1146 Holbourn,9748.8,9.7488,2.23,0.17,-10.59
1146 Holbourn,9750.8,9.7508,2.22,0.16,-9.99
1146 Holbourn,9752.8,9.7528,2.17,0.11,-6.93
1146 Holbourn,9754.7,9.7547,2.23,0.17,-10.64
1146 Holbourn,9756.7,9.7567,2.18,0.12,-7.58
1146 Holbourn,9758.6,9.7586,2.02,-0.04,2.26
1146 Holbourn,9761,9.761,2.09,0.03,-2.07
1146 Holbourn,9763,9.763,2.06,0,-0.24
1146 Holbourn,9764.9,9.7649,2.04,-0.02,0.98
1146 Holbourn,9766.9,9.7669,2.12,0.06,-3.96
1146 Holbourn,9768.8,9.7688,2.07,0.01,-0.9
1146 Holbourn,9770.8,9.7708,2.13,0.07,-4.61
1146 Holbourn,9772.7,9.7727,2.24,0.19,-11.39
1146 Holbourn,9774.7,9.7747,2.57,0.52,-31.72
1146 Holbourn,9776.7,9.7767,2.37,0.32,-19.42
1146 Holbourn,9778.6,9.7786,2.37,0.32,-19.44
1146 Holbourn,9780.6,9.7806,2.45,0.4,-24.38
1146 Holbourn,9782.5,9.7825,2.27,0.22,-13.31
1146 Holbourn,9784.5,9.7845,2.35,0.3,-18.25
1146 Holbourn,9786.5,9.7865,2.16,0.11,-6.58
1146 Holbourn,9788.4,9.7884,2.09,0.04,-2.28
1146 Holbourn,9790.4,9.7904,2.14,0.09,-5.38
1146 Holbourn,9792.3,9.7923,2,-0.05,3.22
1146 Holbourn,9794.3,9.7943,2.13,0.08,-4.79
1146 Holbourn,9796.2,9.7962,2.35,0.3,-18.34
1146 Holbourn,9798.2,9.7982,2.21,0.16,-9.74
1146 Holbourn,9800.2,9.8002,2.12,0.07,-4.22
1146 Holbourn,9802.1,9.8021,2.1,0.05,-3
1146 Holbourn,9804.1,9.8041,2.23,0.18,-11
1146 Holbourn,9806,9.806,2.14,0.09,-5.47
1146 Holbourn,9808,9.808,2.33,0.28,-17.17
1146 Holbourn,9810,9.81,2.3,0.25,-15.34
1146 Holbourn,9811.9,9.8119,2.49,0.44,-27.04
1146 Holbourn,9813.9,9.8139,2.18,0.13,-7.97
1146 Holbourn,9815.8,9.8158,2.68,0.63,-38.74
1146 Holbourn,9817.8,9.8178,2.48,0.43,-26.44
1146 Holbourn,9819.7,9.8197,2.53,0.48,-29.53
1146 Holbourn,9821.4,9.8214,2.83,0.78,-48
1146 Holbourn,9823.1,9.8231,2.64,0.59,-36.31
1146 Holbourn,9824.5,9.8245,2.32,0.27,-16.62
1146 Holbourn,9834.6,9.8346,2.3,0.25,-15.43
1146 Holbourn,9836.3,9.8363,2.04,-0.01,0.56
1146 Holbourn,9838,9.838,2.17,0.12,-7.44
1146 Holbourn,9839.7,9.8397,2.12,0.07,-4.37
1146 Holbourn,9841.4,9.8414,2.11,0.06,-3.76
1146 Holbourn,9843.1,9.8431,2.17,0.12,-7.46
1146 Holbourn,9844.8,9.8448,2.2,0.15,-9.32
1146 Holbourn,9846.5,9.8465,2.21,0.16,-9.94
1146 Holbourn,9848.2,9.8482,2.13,0.08,-5.02
1146 Holbourn,9849.8,9.8498,2.26,0.21,-13.03
1146 Holbourn,9851.5,9.8515,2.02,-0.03,1.73
1146 Holbourn,9853.2,9.8532,2.38,0.33,-20.43
1146 Holbourn,9854.9,9.8549,2.55,0.5,-30.89
1146 Holbourn,9856.6,9.8566,2.42,0.37,-22.9
1146 Holbourn,9858.3,9.8583,2.49,0.44,-27.22
1146 Holbourn,9860,9.86,2.43,0.38,-23.53
1146 Holbourn,9861.7,9.8617,2.41,0.36,-22.31
1146 Holbourn,9863.4,9.8634,2.36,0.31,-19.23
1146 Holbourn,9865.1,9.8651,2.32,0.27,-16.78
1146 Holbourn,9866.8,9.8668,2.29,0.24,-14.94
1146 Holbourn,9868.5,9.8685,2.2,0.15,-9.41
1146 Holbourn,9870.1,9.8701,2.33,0.28,-17.41
1146 Holbourn,9871.8,9.8718,2.29,0.24,-14.96
1146 Holbourn,9873.5,9.8735,2.21,0.16,-10.04
1146 Holbourn,9875.2,9.8752,2.25,0.2,-12.51
1146 Holbourn,9876.9,9.8769,2.44,0.39,-24.21
1146 Holbourn,9878.6,9.8786,2.32,0.27,-16.83
1146 Holbourn,9880.3,9.8803,2.32,0.27,-16.84
1146 Holbourn,9882,9.882,2.01,-0.04,2.23
1146 Holbourn,9883.7,9.8837,2.2,0.15,-9.47
1146 Holbourn,9885.4,9.8854,1.7,-0.35,21.3
1146 Holbourn,9887.1,9.8871,1.95,-0.1,5.9
1146 Holbourn,9888.8,9.8888,2.22,0.17,-10.72
1146 Holbourn,9890.4,9.8904,1.98,-0.07,4.04
1146 Holbourn,9892.1,9.8921,2.27,0.22,-13.81
1146 Holbourn,9893.8,9.8938,2.25,0.2,-12.58
1146 Holbourn,9895.5,9.8955,2.34,0.29,-18.13
1146 Holbourn,9897.2,9.8972,2.42,0.37,-23.06
1146 Holbourn,9898.9,9.8989,2.46,0.41,-25.53
1146 Holbourn,9900.6,9.9006,2.45,0.4,-24.92
1146 Holbourn,9902.3,9.9023,2.36,0.31,-19.38
1146 Holbourn,9904,9.904,2.4,0.35,-21.84
1146 Holbourn,9905.7,9.9057,2.36,0.31,-19.38
1146 Holbourn,9907.4,9.9074,2.12,0.07,-4.61
1146 Holbourn,9909,9.909,2.14,0.09,-5.84
1146 Holbourn,9910.7,9.9107,2.24,0.19,-11.99
1146 Holbourn,9912.4,9.9124,2.26,0.21,-13.22
1146 Holbourn,9914.1,9.9141,2.26,0.21,-13.22
1146 Holbourn,9915.8,9.9158,2.24,0.19,-11.99
1146 Holbourn,9917.5,9.9175,2.23,0.18,-11.38
1146 Holbourn,9919.2,9.9192,2.23,0.18,-11.38
1146 Holbourn,9920.9,9.9209,2.09,0.04,-2.76
1146 Holbourn,9922.6,9.9226,2.19,0.14,-8.92
1146 Holbourn,9924.3,9.9243,2.18,0.13,-8.3
1146 Holbourn,9926,9.926,2.28,0.23,-14.45
1146 Holbourn,9927.7,9.9277,2.18,0.13,-8.3
1146 Holbourn,9929.3,9.9293,2.31,0.26,-16.3
1146 Holbourn,9931,9.931,2.41,0.36,-22.45
1146 Holbourn,9932.7,9.9327,2.32,0.27,-16.92
1146 Holbourn,9934.4,9.9344,2.31,0.26,-16.3
1146 Holbourn,9936.1,9.9361,2.4,0.35,-21.84
1146 Holbourn,9937.8,9.9378,2.22,0.17,-10.76
1146 Holbourn,9939.5,9.9395,2.3,0.25,-15.68
1146 Holbourn,9941.2,9.9412,2.54,0.49,-30.45
1146 Holbourn,9942.9,9.9429,2.32,0.27,-16.92
1146 Holbourn,9944.6,9.9446,2.45,0.4,-24.92
1146 Holbourn,9946.3,9.9463,2.17,0.12,-7.68
1146 Holbourn,9948,9.948,2.3,0.25,-15.68
1146 Holbourn,9949.6,9.9496,2.29,0.24,-15.07
1146 Holbourn,9951.3,9.9513,2.23,0.18,-11.38
1146 Holbourn,9953,9.953,2.21,0.16,-10.15
1146 Holbourn,9954.7,9.9547,2.11,0.06,-3.99
1146 Holbourn,9956.4,9.9564,2.1,0.05,-3.38
1146 Holbourn,9958.1,9.9581,2.06,0.01,-0.92
1146 Holbourn,9959.8,9.9598,2.08,0.03,-2.15
1146 Holbourn,9961.5,9.9615,2.22,0.17,-10.76
1146 Holbourn,9963.2,9.9632,2.19,0.14,-8.92
1146 Holbourn,9964.9,9.9649,2.01,-0.04,2.16
1146 Holbourn,9966.6,9.9666,2.11,0.06,-3.99
1146 Holbourn,9968.3,9.9683,2.1,0.05,-3.38
1146 Holbourn,9969.9,9.9699,2.03,-0.02,0.93
1146 Holbourn,9971.6,9.9716,2.05,0,-0.3
1146 Holbourn,9973.3,9.9733,2,-0.05,2.78
1146 Holbourn,9975,9.975,2.01,-0.04,2.16
1146 Holbourn,9976.7,9.9767,2.1,0.05,-3.38
1146 Holbourn,9978.4,9.9784,1.92,-0.13,7.7
1146 Holbourn,9980.1,9.9801,2.04,-0.01,0.32
1146 Holbourn,9981.8,9.9818,2.26,0.21,-13.22
1146 Holbourn,9983.5,9.9835,2.11,0.06,-3.99
1146 Holbourn,9985.6,9.9856,2.21,0.16,-10.15
1146 Holbourn,9991.7,9.9917,1.92,-0.13,7.7
1146 Holbourn,9994.7,9.9947,2.03,-0.02,0.93
1146 Holbourn,9997.7,9.9977,1.9,-0.15,8.93
1146 Holbourn,10001,10.001,2.08,0.03,-2.14
1146 Holbourn,10004,10.004,2.07,0.02,-1.51
1146 Holbourn,10007,10.007,1.92,-0.13,7.74
1146 Holbourn,10010,10.01,1.91,-0.14,8.37
1146 Holbourn,10013,10.013,2.15,0.1,-6.39
1146 Holbourn,10016,10.016,1.99,-0.06,3.48
1146 Holbourn,10019,10.019,2.38,0.33,-20.51
1146 Holbourn,10022,10.022,2.24,0.19,-11.88
1146 Holbourn,10025,10.025,2.23,0.18,-11.25
1146 Holbourn,10028,10.028,2.33,0.28,-17.39
1146 Holbourn,10031,10.031,2.32,0.27,-16.76
1146 Holbourn,10034,10.034,2.31,0.26,-16.12
1146 Holbourn,10037,10.037,2.29,0.24,-14.88
1146 Holbourn,10040,10.04,2.26,0.21,-13.02
1146 Holbourn,10043,10.043,2.22,0.17,-10.54
1146 Holbourn,10046,10.046,2.21,0.16,-9.91
1146 Holbourn,10049,10.049,2.13,0.08,-4.97
1146 Holbourn,10055,10.055,2.03,-0.02,1.22
1146 Holbourn,10058,10.058,2.1,0.05,-3.08
1146 Holbourn,10061,10.061,2.1,0.05,-3.06
1146 Holbourn,10064,10.064,2.15,0.1,-6.12
1146 Holbourn,10067,10.067,1.97,-0.08,4.97
1146 Holbourn,10070,10.07,2.23,0.18,-11.01
1146 Holbourn,10073,10.073,2.08,0.03,-1.77
1146 Holbourn,10076,10.076,2.23,0.18,-10.98
1146 Holbourn,10079,10.079,2.13,0.08,-4.81
1146 Holbourn,10082,10.082,2.13,0.08,-4.8
1146 Holbourn,10086,10.086,2.09,0.04,-2.32
1146 Holbourn,10089,10.089,2.31,0.26,-15.84
1146 Holbourn,10095,10.095,2.11,0.06,-3.5
1146 Holbourn,10098,10.098,2.13,0.08,-4.72
1146 Holbourn,10101,10.101,1.89,-0.16,10.07
1146 Holbourn,10104,10.104,2.02,-0.03,2.09
1146 Holbourn,10107,10.107,2.03,-0.02,1.49
1146 Holbourn,10110,10.11,2.18,0.13,-7.72
1146 Holbourn,10113,10.113,2.22,0.17,-10.16
1146 Holbourn,10116,10.116,2.08,0.02,-1.53
1146 Holbourn,10119,10.119,2.34,0.28,-17.51
1146 Holbourn,10122,10.122,2.4,0.34,-21.18
1146 Holbourn,10125,10.125,2.34,0.28,-17.47
1146 Holbourn,10128,10.128,2.34,0.28,-17.45
1146 Holbourn,10131,10.131,2.32,0.26,-16.2
1146 Holbourn,10134,10.134,2.34,0.28,-17.41
1146 Holbourn,10137,10.137,2.23,0.17,-10.62
1146 Holbourn,10139,10.139,2.01,-0.05,2.93
1146 Holbourn,10142,10.142,2.24,0.18,-11.2
1146 Holbourn,10145,10.145,1.98,-0.08,4.82
1146 Holbourn,10148,10.148,2.19,0.13,-8.09
1146 Holbourn,10151,10.151,2.21,0.15,-9.3
1146 Holbourn,10154,10.154,2.27,0.21,-12.97
1146 Holbourn,10157,10.157,2.12,0.06,-3.72
1146 Holbourn,10160,10.16,2.08,0.02,-1.24
1146 Holbourn,10163,10.163,1.96,-0.1,6.16
1146 Holbourn,10166,10.166,2.12,0.06,-3.66
1146 Holbourn,10169,10.169,2.26,0.2,-12.26
1146 Holbourn,10172,10.172,2.22,0.16,-9.78
1146 Holbourn,10175,10.175,2.26,0.2,-12.22
1146 Holbourn,10178,10.178,2.16,0.1,-6.05
1146 Holbourn,10181,10.181,2.2,0.14,-8.49
1146 Holbourn,10184,10.184,2.03,-0.03,1.99
1146 Holbourn,10188,10.188,2.15,0.09,-5.37
1146 Holbourn,10191,10.191,2.01,-0.05,3.27
1146 Holbourn,10194,10.194,2.02,-0.04,2.67
1146 Holbourn,10197,10.197,2.1,0.04,-2.23
1146 Holbourn,10200,10.2,2.11,0.05,-2.83
1146 Holbourn,10203,10.203,2.19,0.13,-7.73
1146 Holbourn,10206,10.206,2.1,0.04,-2.17
1146 Holbourn,10209,10.209,2.16,0.09,-5.84
1146 Holbourn,10212,10.212,2.45,0.38,-23.66
1146 Holbourn,10215,10.215,1.98,-0.09,5.29
1146 Holbourn,10218,10.218,2.15,0.08,-5.15
1146 Holbourn,10221,10.221,1.93,-0.14,8.41
1146 Holbourn,10224,10.224,2.06,-0.01,0.43
1146 Holbourn,10227,10.227,1.94,-0.13,7.84
1146 Holbourn,10230,10.23,2.05,-0.02,1.1
1146 Holbourn,10233,10.233,2.34,0.27,-16.73
1146 Holbourn,10236,10.236,2.28,0.21,-13.01
1146 Holbourn,10239,10.239,2.13,0.06,-3.76
1146 Holbourn,10242,10.242,2.22,0.15,-9.27
1146 Holbourn,10245,10.245,2.14,0.07,-4.33
1146 Holbourn,10251,10.251,2.22,0.15,-9.2
1146 Holbourn,10254,10.254,2.23,0.16,-9.79
1146 Holbourn,10257,10.257,2.07,0,0.07
1146 Holbourn,10260,10.26,2.22,0.15,-9.13
1146 Holbourn,10263,10.263,2.14,0.07,-4.19
1146 Holbourn,10266,10.266,2.2,0.13,-7.86
1146 Holbourn,10269,10.269,2.14,0.07,-4.14
1146 Holbourn,10272,10.272,2.1,0.03,-1.65
1146 Holbourn,10275,10.275,2.08,0.01,-0.4
1146 Holbourn,10278,10.278,2.1,0.03,-1.61
1146 Holbourn,10281,10.281,2.02,-0.05,3.34
1146 Holbourn,10284,10.284,2.1,0.03,-1.56
1146 Holbourn,10287,10.287,2.15,0.07,-4.62
1146 Holbourn,10290,10.29,2.14,0.06,-3.98
1146 Holbourn,10293,10.293,2.17,0.09,-5.8
1146 Holbourn,10296,10.296,2.32,0.24,-15.01
1146 Holbourn,10299,10.299,2.37,0.29,-18.06
1146 Holbourn,10302,10.302,2.33,0.25,-15.57
1146 Holbourn,10305,10.305,2.33,0.25,-15.55
1146 Holbourn,10308,10.308,2.5,0.42,-25.98
1146 Holbourn,10311,10.311,2.4,0.32,-19.8
1146 Holbourn,10314,10.314,2.35,0.27,-16.7
1146 Holbourn,10316,10.316,2.29,0.21,-12.99
1146 Holbourn,10318,10.318,2.15,0.07,-4.35
1146 Holbourn,10321,10.321,2.02,-0.06,3.68
1146 Holbourn,10323,10.323,2.05,-0.03,1.85
1146 Holbourn,10325,10.325,2.05,-0.03,1.87
1146 Holbourn,10328,10.328,2.15,0.07,-4.26
1146 Holbourn,10330,10.33,2.19,0.11,-6.7
1146 Holbourn,10333,10.333,2,-0.08,5.01
1146 Holbourn,10335,10.335,2.17,0.09,-5.43
1146 Holbourn,10337,10.337,2.1,0.02,-1.1
1146 Holbourn,10340,10.34,2.04,-0.04,2.62
1146 Holbourn,10342,10.342,1.9,-0.18,11.25
1146 Holbourn,10344,10.344,1.94,-0.14,8.81
1146 Holbourn,10347,10.347,1.99,-0.09,5.76
1146 Holbourn,10349,10.349,2.11,0.03,-1.61
1146 Holbourn,10351,10.351,2.19,0.11,-6.51
1146 Holbourn,10354,10.354,2.25,0.17,-10.18
1146 Holbourn,10356,10.356,2.17,0.09,-5.24
1146 Holbourn,10359,10.359,2.09,0,-0.29
1146 Holbourn,10361,10.361,2.05,-0.04,2.19
1146 Holbourn,10363,10.363,2.02,-0.07,4.06
1146 Holbourn,10366,10.366,2.04,-0.05,2.85
1146 Holbourn,10368,10.368,2.05,-0.04,2.25
1146 Holbourn,10370,10.37,2.21,0.12,-7.57
1146 Holbourn,10375,10.375,2.31,0.22,-13.68
1146 Holbourn,10378,10.378,2.29,0.2,-12.42
1146 Holbourn,10380,10.38,2.32,0.23,-14.25
1146 Holbourn,10382,10.382,2.37,0.28,-17.31
1146 Holbourn,10385,10.385,2.36,0.27,-16.67
1146 Holbourn,10387,10.387,2.31,0.22,-13.57
1146 Holbourn,10389,10.389,2.1,0.01,-0.63
1146 Holbourn,10392,10.392,2.3,0.21,-12.91
1146 Holbourn,10394,10.394,2.22,0.13,-7.97
1146 Holbourn,10396,10.396,2.28,0.19,-11.65
1146 Holbourn,10399,10.399,2,-0.09,5.61
1146 Holbourn,10402,10.402,2.42,0.33,-20.2
1146 Holbourn,10404,10.404,2.21,0.12,-7.26
1146 Holbourn,10406,10.406,2.2,0.11,-6.62
1146 Holbourn,10409,10.409,2.23,0.14,-8.44
1146 Holbourn,10411,10.411,2.15,0.06,-3.5
1146 Holbourn,10414,10.414,2.17,0.08,-4.7
1146 Holbourn,10416,10.416,2.11,0.02,-0.98
1146 Holbourn,10418,10.418,2.12,0.03,-1.58
1146 Holbourn,10421,10.421,2.17,0.08,-4.62
1146 Holbourn,10423,10.423,2.17,0.07,-4.6
1146 Holbourn,10425,10.425,2.13,0.03,-2.12
1146 Holbourn,10428,10.428,2.31,0.21,-13.17
1146 Holbourn,10430,10.43,2.28,0.18,-11.3
1146 Holbourn,10433,10.433,2.23,0.13,-8.19
1146 Holbourn,10435,10.435,2.24,0.14,-8.79
1146 Holbourn,10437,10.437,2.2,0.1,-6.3
1146 Holbourn,10440,10.44,2.16,0.06,-3.81
1146 Holbourn,10442,10.442,2.14,0.04,-2.56
1146 Holbourn,10444,10.444,2.12,0.02,-1.31
1146 Holbourn,10447,10.447,2.52,0.42,-25.89
1146 Holbourn,10449,10.449,2.15,0.05,-3.1
1146 Holbourn,10451,10.451,1.94,-0.16,9.84
1146 Holbourn,10453,10.453,2.12,0.02,-1.22
1146 Holbourn,10456,10.456,1.83,-0.27,16.66
1146 Holbourn,10458,10.458,1.97,-0.13,8.07
1146 Holbourn,10460,10.46,1.95,-0.15,9.32
1146 Holbourn,10462,10.462,1.89,-0.21,13.03
1146 Holbourn,10464,10.464,2.01,-0.09,5.67
1146 Holbourn,10466,10.466,2.06,-0.04,2.61
1146 Holbourn,10468,10.468,2.23,0.13,-7.83
1146 Holbourn,10469,10.469,2.24,0.14,-8.43
1146 Holbourn,10471,10.471,2.3,0.2,-12.11
1146 Holbourn,10473,10.473,2.1,0,0.22
1146 Holbourn,10475,10.475,2.17,0.07,-4.06
1146 Holbourn,10477,10.477,2.21,0.11,-6.51
1146 Holbourn,10478,10.478,2.09,-0.01,0.89
1146 Holbourn,10480,10.48,2.1,0,0.29
1146 Holbourn,10482,10.482,2.06,-0.05,2.78
1146 Holbourn,10484,10.484,2.08,-0.03,1.57
1146 Holbourn,10485,10.485,2.17,0.06,-3.96
1146 Holbourn,10487,10.487,2.11,0,-0.25
1146 Holbourn,10489,10.489,2.13,0.02,-1.46
1146 Holbourn,10491,10.491,2.08,-0.03,1.64
1146 Holbourn,10492,10.492,2.08,-0.03,1.65
1146 Holbourn,10494,10.494,2.05,-0.06,3.52
1146 Holbourn,10496,10.496,1.99,-0.12,7.23
1146 Holbourn,10498,10.498,2.05,-0.06,3.56
1146 Holbourn,10500,10.5,2.09,-0.02,1.12
1146 Holbourn,10501,10.501,2.12,0.01,-0.72
1146 Holbourn,10503,10.503,2.14,0.03,-1.93
1146 Holbourn,10505,10.505,2.3,0.19,-11.75
1146 Holbourn,10507,10.507,2.19,0.08,-4.96
1146 Holbourn,10512,10.512,2.19,0.08,-4.9
1146 Holbourn,10514,10.514,2.14,0.03,-1.8
1146 Holbourn,10515,10.515,2.08,-0.03,1.91
1146 Holbourn,10517,10.517,1.95,-0.16,9.93
1146 Holbourn,10519,10.519,2.14,0.03,-1.74
1146 Holbourn,10521,10.521,2,-0.11,6.9
1146 Holbourn,10523,10.523,2.17,0.06,-3.54
1146 Holbourn,10524,10.524,2.06,-0.05,3.24
1146 Holbourn,10526,10.526,2.07,-0.04,2.65
