source,age_ka,age,d18O,d18O_sw,sealevel
Vema 1930,39.88,0.03988,3.99,0.96,-76.43
Vema 1930,40.28,0.04028,4.07,1.04,-82.83
Vema 1930,41.09,0.04109,3.83,0.8,-63.63
Vema 1930,41.49,0.04149,3.89,0.86,-68.43
Vema 1930,41.9,0.0419,3.89,0.86,-68.43
Vema 1930,42.31,0.04231,3.94,0.91,-72.43
Vema 1930,42.71,0.04271,3.98,0.95,-75.63
Vema 1930,43.53,0.04353,3.95,0.92,-73.23
Vema 1930,46.01,0.04601,3.88,0.85,-67.63
Vema 1930,46.43,0.04643,3.89,0.86,-68.43
Vema 1930,46.85,0.04685,4.02,0.99,-78.83
Vema 1930,47.68,0.04768,3.7,0.67,-53.23
Vema 1930,48.1,0.0481,3.65,0.62,-49.23
Vema 1930,48.52,0.04852,3.72,0.69,-54.83
Vema 1930,48.94,0.04894,3.62,0.59,-46.83
Vema 1930,49.36,0.04936,3.9,0.87,-69.23
Vema 1930,50.2,0.0502,3.9,0.87,-69.23
Vema 1930,50.62,0.05062,3.84,0.81,-64.43
Vema 1930,51.04,0.05104,3.85,0.82,-65.23
Vema 1930,51.47,0.05147,3.87,0.84,-66.83
Vema 1930,51.89,0.05189,3.9,0.87,-69.23
Vema 1930,52.31,0.05231,3.97,0.94,-74.83
Vema 1930,52.74,0.05274,3.93,0.9,-71.63
Vema 1930,53.16,0.05316,3.91,0.88,-70.03
Vema 1930,53.59,0.05359,3.81,0.78,-62.03
Vema 1930,54.15,0.05415,3.81,0.78,-62.03
Vema 1930,54.3,0.0543,3.78,0.75,-59.63
Vema 1930,54.37,0.05437,3.42,0.39,-30.83
Vema 1930,54.79,0.05479,3.56,0.53,-42.03
Vema 1930,55.22,0.05522,3.69,0.66,-52.43
Vema 1930,55.65,0.05565,3.67,0.64,-50.83
Vema 1930,56.07,0.05607,3.76,0.73,-58.03
Vema 1930,56.5,0.0565,3.5,0.47,-37.23
Vema 1930,56.93,0.05693,3.84,0.81,-64.43
Vema 1930,57.36,0.05736,3.82,0.79,-62.83
Vema 1930,57.79,0.05779,3.8,0.77,-61.23
Vema 1930,58.21,0.05821,4.06,1.03,-82.03
Vema 1930,58.64,0.05864,4.05,1.02,-81.23
Vema 1930,59.07,0.05907,3.96,0.93,-74.03
Vema 1930,59.5,0.0595,3.87,0.84,-66.83
Vema 1930,59.93,0.05993,4.05,1.02,-81.23
Vema 1930,60.36,0.06036,3.98,0.95,-75.63
Vema 1930,60.79,0.06079,3.89,0.86,-68.43
Vema 1930,61.22,0.06122,4.01,0.98,-78.03
Vema 1930,62.08,0.06208,3.99,0.96,-76.43
Vema 1930,62.94,0.06294,4.05,1.02,-81.23
Vema 1930,63.37,0.06337,3.97,0.94,-74.83
Vema 1930,63.8,0.0638,3.93,0.9,-71.63
Vema 1930,64.23,0.06423,4.02,0.99,-78.83
Vema 1930,64.66,0.06466,3.97,0.94,-74.83
Vema 1930,65.09,0.06509,3.92,0.89,-70.83
Vema 1930,65.52,0.06552,3.94,0.91,-72.43
Vema 1930,65.96,0.06596,4.02,0.99,-78.83
Vema 1930,66.39,0.06639,3.96,0.93,-74.03
Vema 1930,66.83,0.06683,3.83,0.8,-63.63
Vema 1930,67.77,0.06777,3.99,0.96,-76.43
Vema 1930,68.21,0.06821,3.95,0.92,-73.23
Vema 1930,68.66,0.06866,3.84,0.81,-64.43
Vema 1930,69.1,0.0691,3.81,0.78,-62.03
Vema 1930,69.55,0.06955,3.77,0.74,-58.83
Vema 1930,70.02,0.07002,3.81,0.78,-62.03
Vema 1930,70.49,0.07049,3.83,0.8,-63.63
Vema 1930,71.19,0.07119,3.86,0.83,-66.03
Vema 1930,71.77,0.07177,3.69,0.66,-52.43
Vema 1930,72.36,0.07236,3.54,0.51,-40.43
Vema 1930,73.05,0.07305,3.56,0.53,-42.03
Vema 1930,73.77,0.07377,3.62,0.59,-46.83
Vema 1930,74.49,0.07449,3.74,0.71,-56.43
Vema 1930,75.25,0.07525,3.7,0.67,-53.23
Vema 1930,76.01,0.07601,3.54,0.51,-40.43
Vema 1930,76.78,0.07678,3.58,0.55,-43.63
Vema 1930,77.57,0.07757,3.53,0.5,-39.63
Vema 1930,78.36,0.07836,3.49,0.46,-36.43
Vema 1930,79.15,0.07915,3.41,0.38,-30.03
Vema 1930,79.95,0.07995,3.39,0.36,-28.43
Vema 1930,80.76,0.08076,3.4,0.37,-29.23
Vema 1930,81.56,0.08156,3.35,0.32,-25.23
Vema 1930,82.37,0.08237,3.3,0.27,-21.23
Vema 1930,83.19,0.08319,3.39,0.36,-28.43
Vema 1930,84,0.084,3.39,0.36,-28.43
Vema 1930,84.82,0.08482,3.53,0.5,-39.63
Vema 1930,85.64,0.08564,3.48,0.45,-35.63
Vema 1930,86.46,0.08646,3.65,0.62,-49.23
Vema 1930,87.29,0.08729,3.68,0.65,-51.63
Vema 1930,88.12,0.08812,3.72,0.69,-54.83
Vema 1930,88.95,0.08895,3.79,0.76,-60.43
Vema 1930,89.8,0.0898,3.59,0.56,-44.43
Vema 1930,90.64,0.09064,3.71,0.68,-54.03
Vema 1930,91.5,0.0915,3.69,0.66,-52.43
Vema 1930,92.66,0.09266,3.48,0.45,-35.63
Vema 1930,93.54,0.09354,3.45,0.42,-33.23
Vema 1930,94.46,0.09446,3.42,0.39,-30.83
Vema 1930,95.37,0.09537,3.55,0.52,-41.23
Vema 1930,96.3,0.0963,3.49,0.46,-36.43
Vema 1930,97.25,0.09725,3.39,0.36,-28.43
Vema 1930,98.2,0.0982,3.37,0.34,-26.83
Vema 1930,99.16,0.09916,3.4,0.37,-29.23
Vema 1930,100.12,0.10012,3.41,0.38,-30.03
Vema 1930,101.08,0.10108,3.43,0.4,-31.63
Vema 1930,102.01,0.10201,3.34,0.31,-24.43
Vema 1930,102.95,0.10295,3.53,0.5,-39.63
Vema 1930,103.88,0.10388,3.6,0.57,-45.23
Vema 1930,104.89,0.10489,3.56,0.53,-42.03
Vema 1930,105.76,0.10576,3.57,0.54,-42.83
Vema 1930,106.61,0.10661,3.5,0.47,-37.23
Vema 1930,107.93,0.10793,3.88,0.85,-67.63
Vema 1930,108.46,0.10846,3.65,0.62,-49.23
Vema 1930,109.23,0.10923,3.7,0.67,-53.23
Vema 1930,110.24,0.11024,3.75,0.72,-57.23
Vema 1930,111,0.111,3.73,0.7,-55.63
Vema 1930,111.77,0.11177,3.37,0.34,-26.83
