latitude,modern_surface_d18O_w,modern_surface_temp,modern_surface_d18O_c,modern_mixed_d18O_w,modern_mixed_temp,modern_mixed_d18O_c,modern_min_d18O_w,modern_min_temp,modern_min_d18O_c,modern_max_d18O_w,modern_max_temp,modern_max_d18O_c,eoc_surface_d18O_w,eoc_surface_temp,eoc_surface_d18O_c,eoc_mixed_d18O_w,eoc_mixed_temp,eoc_mixed_d18O_c,eoc_min_d18O_w,eoc_min_temp,eoc_min_d18O_c,eoc_max_d18O_w,eoc_max_temp,eoc_max_d18O_c
-25,0.138291,21.5931,-0.87111,0.14863,20.1414,-0.543202,-0.35484,14.2673,-1.52507,0.644662,24.1774,0.658494,-0.46829,30.6847,-3.43736,-0.43903,28.318,-2.90271,-1.02191,21.0676,-3.87992,0.532961,31.1535,-1.30035
-22.5,0.091846,22.4248,-1.09891,0.10659,20.9947,-0.77206,-0.48594,15.3032,-1.56006,0.614356,24.5287,0.47679,-0.46329,31.588,-3.6244,-0.43868,29.5885,-3.17407,-0.96641,23.3649,-4.15314,1.15835,31.9237,-1.57814
-20,0.00836,23.2966,-1.37204,0.04935,21.7963,-1.00442,-0.91021,13.6097,-2.17553,0.535283,26.3601,0.78019,-0.46515,32.3165,-3.7808,-0.43914,30.6581,-3.40255,-0.89013,23.0495,-4.23513,0.984526,33.7909,-1.75111
-17.5,-0.035415,23.9788,-1.56388,0.03681,22.4304,-1.15519,-0.86307,11.5181,-2.42093,0.588115,26.0458,1.18639,-0.44204,32.972,-3.89646,-0.39026,31.5333,-3.53974,-0.9101,22.661,-4.48895,0.926005,35.3853,-1.7474
-15,-0.096955,24.7946,-1.80212,0.02322,23.2968,-1.35723,-0.67926,10.3546,-2.77089,0.750441,26.5854,1.43517,-0.42463,33.5384,-3.99878,-0.30329,32.369,-3.63005,-0.88548,24.3417,-4.73194,0.922753,36.4,-2.0336
-12.5,-0.158263,25.5874,-2.03475,0.00232,24.0757,-1.54717,-0.77006,11.9552,-2.88079,0.754273,27.4728,1.09118,-0.43461,34.1661,-4.14124,-0.24813,33.0069,-3.70995,-0.77854,23.5571,-4.89142,1.17228,37.3549,-1.92083
-10,-0.145142,25.988,-2.10806,0.03077,24.4296,-1.59539,-0.50602,12.5594,-2.66391,0.569188,28.2501,0.965357,-0.3913,34.5825,-4.18568,-0.2479,33.1951,-3.74951,-0.6471,22.8548,-4.91981,1.24207,37.5801,-1.79096
-7.5,-0.064327,26.2453,-2.08271,0.10717,24.6522,-1.56719,-0.35821,13.464,-2.56371,0.539463,28.927,0.784658,-0.3855,34.8884,-4.24427,-0.24442,33.0921,-3.72425,-0.53494,22.6858,-4.80601,1.12224,37.235,-1.76789
-5,0.001277,26.2092,-2.00931,0.15548,24.2408,-1.42978,-0.17046,13.9723,-2.57514,0.516124,28.9948,0.675636,-0.40338,34.9621,-4.27766,-0.22921,32.6407,-3.61352,-0.52878,23.1738,-4.78479,0.90731,36.9675,-1.85173
-2.5,0.095678,25.4216,-1.74501,0.20436,23.1619,-1.14678,-0.09626,14.0704,-2.52872,0.510667,28.6779,0.6606,-0.44053,34.6202,-4.24285,-0.21818,31.5718,-3.37584,-0.64118,23.7145,-4.78279,0.844261,36.6903,-1.92898
0,0.079306,25.1262,-1.69756,0.22445,22.6146,-1.00764,-0.05028,14.0165,-2.58316,0.611918,29.416,0.664604,-0.45377,34.535,-4.23814,-0.20157,31.2326,-3.28719,-0.59079,23.8849,-4.64091,0.739294,36.3431,-1.93724
2.5,0.054341,25.6477,-1.83516,0.20761,22.9808,-1.10414,-0.05817,14.3534,-2.46509,0.56048,29.0222,0.561007,-0.43334,34.988,-4.31307,-0.19495,32.2254,-3.49129,-0.6817,23.9273,-4.59661,0.617259,36.7892,-1.92822
5,-0.057012,26.2175,-2.06941,0.12262,24.1843,-1.45041,-1.68945,15.4733,-4.01262,0.626432,28.7241,0.28435,-0.42753,35.2304,-4.35826,-0.19786,33.073,-3.67364,-1.37873,24.0015,-6.58882,0.935758,41.364,-1.95605
7.5,-0.080002,26.057,-2.05781,0.06491,24.4304,-1.56144,-1.77688,16.1474,-4.02047,0.728612,29.3423,0.136732,-0.41151,35.1335,-4.32185,-0.18183,33.4482,-3.73693,-2.67491,25.5547,-7.31896,1.12119,40.3104,-1.89643
10,-0.026009,25.5001,-1.88365,0.09312,24.0214,-1.4446,-1.67006,16.7118,-3.6901,0.803853,27.9021,0.013392,-0.39525,34.7044,-4.21529,-0.16558,33.5458,-3.74129,-3.15794,29.3364,-8.27556,1.00879,40.9174,-2.38193
12.5,0.083369,24.8468,-1.63309,0.16825,23.4595,-1.24754,-1.66716,17.7905,-3.61916,0.895699,27.4483,-0.166543,-0.26764,33.9849,-3.93605,-0.10984,33.0554,-3.58191,-0.95712,29.0198,-4.63663,1.00496,35.7895,-2.42204
